"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1598S2-015",43582.15,"1981-08-12T00:42:24Z","1981-08-12T02:06:56Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358215.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358215.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1602S2-015",43582.19,"1981-08-12T00:45:36Z","1981-08-12T02:10:08Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358219.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358219.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1606S2-015",43582.23,"1981-08-12T00:48:48Z","1981-08-12T02:13:20Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358223.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358223.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1609S2-015",43582.26,"1981-08-12T00:48:48Z","1981-08-12T02:15:44Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358226.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358226.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1613S2-015",43582.30,"1981-08-12T00:54:24Z","1981-08-12T02:18:56Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358230.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358230.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1617S2-015",43582.34,"1981-08-12T00:57:36Z","1981-08-12T02:22:08Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358234.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358234.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1621S2-015",43582.38,"1981-08-12T01:00:48Z","1981-08-12T02:25:20Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358238.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358238.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1624S2-015",43582.41,"1981-08-12T01:00:48Z","1981-08-12T02:27:44Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358241.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358241.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","ENCELADU","1714S2-015",43584.11,"1981-08-12T02:15:12Z","1981-08-12T15:25:17Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[ENCELADU]C4358411.IMQ                   ","VG_0036 ","[BROWSE.ENCELADU]C4358411.IBG                   "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1727S2-015",43584.24,"1981-08-12T02:25:36Z","1981-08-12T03:50:08Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358424.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358424.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1731S2-015",43584.28,"1981-08-12T02:28:48Z","1981-08-12T03:53:20Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358428.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358428.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1735S2-015",43584.32,"1981-08-12T02:32:00Z","1981-08-12T03:56:32Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358432.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358432.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1738S2-015",43584.35,"1981-08-12T02:32:00Z","1981-08-12T03:58:56Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358435.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358435.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1742S2-015",43584.39,"1981-08-12T02:37:36Z","1981-08-12T04:02:08Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358439.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358439.IBG            "                                                                                               
