"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1609S1-082",32510.45,"1980-08-23T21:09:22Z","1980-08-23T22:30:07Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251045.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251045.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1739S1-082",32512.55,"1980-08-23T22:53:22Z","1980-08-24T00:14:08Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251255.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251255.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1745S1-082",32513.01,"1980-08-23T22:58:10Z","1980-08-24T00:18:56Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251301.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251301.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1751S1-082",32513.07,"1980-08-23T23:02:58Z","1980-08-24T00:23:44Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251307.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251307.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1757S1-082",32513.13,"1980-08-23T23:07:46Z","1980-08-24T00:28:32Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251313.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251313.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1763S1-082",32513.19,"1980-08-23T23:12:34Z","1980-08-24T00:33:20Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251319.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251319.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0101S1-081",32515.37,"1980-08-24T01:02:58Z","1980-08-24T19:28:54Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251537.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251537.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0103S1-081",32515.39,"1980-08-24T01:04:34Z","1980-08-24T19:33:23Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251539.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251539.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0105S1-081",32515.41,"1980-08-24T01:06:10Z","1980-08-24T19:37:49Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251541.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251541.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0107S1-081",32515.43,"1980-08-24T01:07:46Z","1980-08-24T19:42:18Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251543.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251543.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0109S1-081",32515.45,"1980-08-24T01:09:22Z","1980-08-24T19:46:44Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251545.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251545.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0255S1-081",32518.11,"1980-08-24T03:06:10Z","1980-08-24T19:51:11Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251811.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251811.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0257S1-081",32518.13,"1980-08-24T03:07:46Z","1980-08-24T19:55:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251813.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251813.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0259S1-081",32518.15,"1980-08-24T03:09:22Z","1980-08-24T20:00:09Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251815.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251815.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0261S1-081",32518.17,"1980-08-24T03:10:58Z","1980-08-24T20:04:35Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251817.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251817.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0263S1-081",32518.19,"1980-08-24T03:12:34Z","1980-08-24T20:09:03Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3251XXX]C3251819.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3251XXX]C3251819.IBG            "                                                                                               
