"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","0498S1-016",34472.14,"1980-10-28T06:20:34Z","1980-10-28T10:31:24Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3447214.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3447214.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","ENCELADU","0752S1-015",34506.44,"1980-10-29T09:43:46Z","1980-10-30T09:18:20Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[ENCELADU]C3450644.IMQ         ","VG_0005 ","[BROWSE.ENCELADU]C3450644.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0863S1-015",34508.35,"1980-10-29T11:12:34Z","1980-10-29T12:50:18Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3450835.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3450835.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0866S1-015",34508.38,"1980-10-29T11:12:34Z","1980-10-29T12:52:42Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3450838.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3450838.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0870S1-015",34508.42,"1980-10-29T11:18:10Z","1980-10-29T12:55:54Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3450842.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3450842.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","0873S1-015",34508.45,"1980-10-29T11:18:10Z","1980-10-29T12:58:18Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3450845.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3450845.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","1217S1-015",34514.29,"1980-10-29T15:55:46Z","1980-10-30T09:22:48Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3451429.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3451429.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0331S1-014",34529.43,"1980-10-30T04:06:58Z","1980-10-30T09:57:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0,  0.960,"                                                                                ","11111111","NONE  ","VG_0004 ","[SATURN.C3452XXX]C3452943.IMQ  ","VG_0005 ","[BROWSE.SATURN.C3452XXX]C3452943.IBG  "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1344S1-014",34546.36,"1980-10-30T17:37:22Z","1980-10-30T19:15:06Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3454636.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3454636.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1347S1-014",34546.39,"1980-10-30T17:37:22Z","1980-10-30T19:17:30Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3454639.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3454639.IBG           "                                                                                                                   
