"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0478S2-024",43293.35,"1981-08-02T09:46:24Z","1981-08-02T11:09:25Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329335.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329335.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0484S2-024",43293.41,"1981-08-02T09:51:12Z","1981-08-02T11:14:13Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329341.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329341.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0489S2-024",43293.46,"1981-08-02T09:51:12Z","1981-08-02T11:18:13Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.7200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329346.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329346.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0494S2-024",43293.51,"1981-08-02T09:59:12Z","1981-08-02T11:22:13Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329351.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329351.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0500S2-024",43293.57,"1981-08-02T10:04:00Z","1981-08-02T11:27:01Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329357.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329357.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0506S2-024",43294.03,"1981-08-02T10:08:48Z","1981-08-02T11:31:49Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329403.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329403.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0511S2-024",43294.08,"1981-08-02T10:08:48Z","1981-08-02T11:35:49Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329408.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329408.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0516S2-024",43294.13,"1981-08-02T10:16:48Z","1981-08-02T11:39:49Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329413.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329413.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0522S2-024",43294.19,"1981-08-02T10:21:36Z","1981-08-02T11:44:37Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329419.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329419.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0528S2-024",43294.25,"1981-08-02T10:26:24Z","1981-08-02T11:49:25Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329425.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329425.IBG            "                                                                                               
