"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1719S2-058",42294.16,"1981-06-30T02:19:11Z","1981-06-30T15:37:07Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229416.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229416.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1721S2-058",42294.18,"1981-06-30T02:20:47Z","1981-06-30T15:41:33Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229418.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229418.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0072S2-057",42296.49,"1981-06-30T04:21:35Z","1981-06-30T15:45:57Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229649.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229649.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0074S2-057",42296.51,"1981-06-30T04:23:11Z","1981-06-30T15:50:25Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229651.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229651.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0076S2-057",42296.53,"1981-06-30T04:24:47Z","1981-06-30T15:54:49Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229653.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229653.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0078S2-057",42296.55,"1981-06-30T04:26:23Z","1981-06-30T15:59:17Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229655.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229655.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0080S2-057",42296.57,"1981-06-30T04:27:59Z","1981-06-30T16:03:42Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229657.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229657.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0231S2-057",42299.28,"1981-06-30T06:28:47Z","1981-06-30T16:40:18Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229928.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229928.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0233S2-057",42299.30,"1981-06-30T06:30:23Z","1981-06-30T16:44:45Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229930.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229930.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0235S2-057",42299.32,"1981-06-30T06:31:59Z","1981-06-30T16:48:55Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229932.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229932.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0237S2-057",42299.34,"1981-06-30T06:33:35Z","1981-06-30T16:53:22Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229934.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229934.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0239S2-057",42299.36,"1981-06-30T06:35:11Z","1981-06-30T16:57:48Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4229XXX]C4229936.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4229XXX]C4229936.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0390S2-057",42302.07,"1981-06-30T08:35:59Z","1981-06-30T17:02:14Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230207.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230207.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0392S2-057",42302.09,"1981-06-30T08:37:35Z","1981-06-30T17:06:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230209.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230209.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0394S2-057",42302.11,"1981-06-30T08:39:11Z","1981-06-30T17:11:04Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230211.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230211.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0396S2-057",42302.13,"1981-06-30T08:40:47Z","1981-06-30T17:15:31Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230213.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230213.IBG            "                                                                                               
