"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1163S1-006",34783.19,"1980-11-07T15:12:34Z","1980-11-07T16:37:26Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478319.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478319.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1167S1-006",34783.23,"1980-11-07T15:15:46Z","1980-11-07T16:40:38Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478323.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478323.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1171S1-006",34783.27,"1980-11-07T15:18:58Z","1980-11-07T16:43:50Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478327.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478327.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","1175S1-006",34783.31,"1980-11-07T15:22:10Z","1980-11-07T16:47:02Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[OTHER.SKY.C3478XXX]C3478331.IMQ         ","VG_0029 ","[BROWSE.OTHER.SKY.C3478XXX]C3478331.IBG         "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","1185S1-006",34783.41,"1980-11-07T15:30:10Z","1980-11-07T16:55:02Z","NARROW_ANGLE_CAMERA","3:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[CALIB.DARK]C3478341.IMQ                 ","VG_0029 ","[BROWSE.CALIB.DARK]C3478341.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","1188S1-006",34783.44,"1980-11-07T15:32:34Z","1980-11-07T16:57:26Z","WIDE_ANGLE_CAMERA  ","3:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   2, 7.6800,"                                                                                ","11111111","NONE  ","VG_0029 ","[CALIB.DARK]C3478344.IMQ                 ","VG_0029 ","[BROWSE.CALIB.DARK]C3478344.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","IAPETUS ","1195S1-006",34783.51,"1980-11-07T15:38:10Z","1980-11-07T17:03:02Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0029 ","[IAPETUS]C3478351.IMQ                    ","VG_0029 ","[BROWSE.IAPETUS]C3478351.IBG                    "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","IAPETUS ","1198S1-006",34783.54,"1980-11-07T15:38:10Z","1980-11-07T17:05:26Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[IAPETUS]C3478354.IMQ                    ","VG_0029 ","[BROWSE.IAPETUS]C3478354.IBG                    "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","1203S1-006",34783.59,"1980-11-07T15:44:34Z","1980-11-07T17:09:26Z","NARROW_ANGLE_CAMERA","3:1    ","BODARK ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0029 ","[CALIB.DARK]C3478359.IMQ                 ","VG_0029 ","[BROWSE.CALIB.DARK]C3478359.IBG                 "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","1206S1-006",34784.02,"1980-11-07T15:46:58Z","1980-11-07T17:11:50Z","WIDE_ANGLE_CAMERA  ","3:1    ","BODARK ","LOW    ","1:1    ","BLUE   ",   1, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[CALIB.DARK]C3478402.IMQ                 ","VG_0029 ","[BROWSE.CALIB.DARK]C3478402.IBG                 "                                                                                               
