"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0722S2-005",43867.39,"1981-08-21T13:01:35Z","1981-08-21T14:27:31Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:3    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386739.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386739.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0725S2-005",43867.42,"1981-08-21T13:03:59Z","1981-08-21T14:29:55Z","NARROW_ANGLE_CAMERA","1:1    ","BOTSIM ","LOW    ","1:3    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386742.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386742.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0727S2-005",43867.44,"1981-08-21T14:31:31Z","1981-08-21T14:31:31Z","WIDE_ANGLE_CAMERA  ","1:1    ","BOTSIM ","LOW    ","1:3    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[TITAN.C4386XXX]C4386744.IMQ             ","VG_0037 ","[BROWSE.TITAN.C4386XXX]C4386744.IBG             "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SKY     ","0737S2-005",43867.54,"1981-08-21T13:13:35Z","1981-08-21T14:39:31Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 0.0050,"                                                                                ","11111111","NONE  ","VG_0037 ","[OTHER.SKY.C4386XXX]C4386754.IMQ         ","VG_0037 ","[BROWSE.OTHER.SKY.C4386XXX]C4386754.IBG         "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0743S2-005",43868.00,"1981-08-21T13:18:23Z","1981-08-21T14:44:19Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386800.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386800.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0746S2-005",43868.03,"1981-08-21T13:18:23Z","1981-08-21T14:46:43Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386803.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386803.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0750S2-005",43868.07,"1981-08-21T13:23:59Z","1981-08-21T14:49:55Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386807.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386807.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0753S2-005",43868.10,"1981-08-21T13:23:59Z","1981-08-21T14:52:19Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386810.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386810.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0757S2-005",43868.14,"1981-08-21T13:29:35Z","1981-08-21T14:55:31Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386814.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386814.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0760S2-005",43868.17,"1981-08-21T13:29:35Z","1981-08-21T14:57:55Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386817.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386817.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0764S2-005",43868.21,"1981-08-21T13:35:11Z","1981-08-21T15:01:07Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386821.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386821.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0767S2-005",43868.24,"1981-08-21T13:35:11Z","1981-08-21T15:03:31Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386824.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386824.IBG            "                                                                                               
