"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1607S1+022",35630.43,"1980-12-05T21:05:23Z","1980-12-05T22:30:51Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563043.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563043.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1611S1+022",35630.47,"1980-12-05T21:10:59Z","1980-12-05T22:34:03Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563047.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563047.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1614S1+022",35630.50,"1980-12-05T21:10:59Z","1980-12-05T22:36:27Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563050.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563050.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1618S1+022",35630.54,"1980-12-05T21:16:35Z","1980-12-05T22:39:39Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563054.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563054.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1621S1+022",35630.57,"1980-12-05T21:16:35Z","1980-12-05T22:42:03Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563057.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563057.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1625S1+022",35631.01,"1980-12-05T21:22:11Z","1980-12-05T22:45:15Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563101.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563101.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1628S1+022",35631.04,"1980-12-05T21:22:11Z","1980-12-05T22:47:39Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563104.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563104.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1632S1+022",35631.08,"1980-12-05T21:27:47Z","1980-12-05T22:50:51Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563108.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563108.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1635S1+022",35631.11,"1980-12-05T21:27:47Z","1980-12-05T22:53:15Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563111.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563111.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1639S1+022",35631.15,"1980-12-05T21:33:23Z","1980-12-05T22:56:27Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563115.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563115.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1642S1+022",35631.18,"1980-12-05T21:33:23Z","1980-12-05T22:58:51Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563118.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563118.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1646S1+022",35631.22,"1980-12-05T21:38:59Z","1980-12-05T23:02:03Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563122.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563122.IBG            "                                                                                               
