"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1762S1+002",35033.18,"1980-11-15T23:11:47Z","1980-11-16T00:36:23Z","WIDE_ANGLE_CAMERA  ","3:1    ","WAONLY ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503318.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503318.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1766S1+002",35033.22,"1980-11-15T23:14:59Z","1980-11-16T00:39:35Z","WIDE_ANGLE_CAMERA  ","3:1    ","WAONLY ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503322.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503322.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1770S1+002",35033.26,"1980-11-15T23:18:11Z","1980-11-16T00:42:47Z","WIDE_ANGLE_CAMERA  ","3:1    ","WAONLY ","LOW    ","1:1    ","CH4_JS ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503326.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503326.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1774S1+002",35033.30,"1980-11-15T23:21:23Z","1980-11-16T00:45:59Z","WIDE_ANGLE_CAMERA  ","3:1    ","WAONLY ","LOW    ","1:1    ","CLEAR  ",   2, 0.0900,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503330.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503330.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1778S1+002",35033.34,"1980-11-15T23:24:35Z","1980-11-16T00:49:11Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503334.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503334.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1782S1+002",35033.38,"1980-11-15T23:27:47Z","1980-11-16T00:52:23Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.3600,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503338.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503338.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1786S1+002",35033.42,"1980-11-15T23:30:59Z","1980-11-16T00:55:35Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503342.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503342.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1790S1+002",35033.46,"1980-11-15T23:34:11Z","1980-11-16T00:58:47Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.3600,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503346.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503346.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1794S1+002",35033.50,"1980-11-15T23:37:23Z","1980-11-16T01:01:59Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503350.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503350.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1798S1+002",35033.54,"1980-11-15T23:40:35Z","1980-11-16T01:05:11Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.3600,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503354.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503354.IBG            "                                                                                               
