"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0917S1+014",35379.13,"1980-11-27T11:53:23Z","1980-11-27T13:19:33Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537913.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537913.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0921S1+014",35379.17,"1980-11-27T11:58:59Z","1980-11-27T13:22:45Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537917.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537917.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0924S1+014",35379.20,"1980-11-27T11:58:59Z","1980-11-27T13:25:09Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537920.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537920.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0928S1+014",35379.24,"1980-11-27T12:04:35Z","1980-11-27T13:28:21Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537924.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537924.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0931S1+014",35379.27,"1980-11-27T12:04:35Z","1980-11-27T13:30:45Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537927.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537927.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0935S1+014",35379.31,"1980-11-27T12:10:11Z","1980-11-27T13:33:57Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537931.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537931.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0938S1+014",35379.34,"1980-11-27T12:10:11Z","1980-11-27T13:36:21Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537934.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537934.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0942S1+014",35379.38,"1980-11-27T12:15:47Z","1980-11-27T13:39:33Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537938.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537938.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0945S1+014",35379.41,"1980-11-27T12:15:47Z","1980-11-27T13:41:57Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537941.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537941.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0949S1+014",35379.45,"1980-11-27T12:21:23Z","1980-11-27T13:45:09Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537945.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537945.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0952S1+014",35379.48,"1980-11-27T12:21:23Z","1980-11-27T13:47:33Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537948.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537948.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0956S1+014",35379.52,"1980-11-27T12:26:59Z","1980-11-27T13:50:45Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537952.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537952.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0959S1+014",35379.55,"1980-11-27T12:26:59Z","1980-11-27T13:53:09Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537955.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537955.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0963S1+014",35379.59,"1980-11-27T12:32:35Z","1980-11-27T13:56:21Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3537XXX]C3537959.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3537XXX]C3537959.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0966S1+014",35380.02,"1980-11-27T12:32:35Z","1980-11-27T13:58:45Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3538XXX]C3538002.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3538XXX]C3538002.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0970S1+014",35380.06,"1980-11-27T12:38:11Z","1980-11-27T14:01:57Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3538XXX]C3538006.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3538XXX]C3538006.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0973S1+014",35380.09,"1980-11-27T12:38:11Z","1980-11-27T14:04:21Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3538XXX]C3538009.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3538XXX]C3538009.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0977S1+014",35380.13,"1980-11-27T12:43:47Z","1980-11-27T14:07:33Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3538XXX]C3538013.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3538XXX]C3538013.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0980S1+014",35380.16,"1980-11-27T12:43:47Z","1980-11-27T14:09:57Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 2.8800,"                                                                                ","11111111","NONE  ","VG_0031 ","[SATURN.C3538XXX]C3538016.IMQ            ","VG_0031 ","[BROWSE.SATURN.C3538XXX]C3538016.IBG            "                                                                                               
