"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1170S1+031",35893.26,"1980-12-14T15:15:47Z","1980-12-14T16:40:28Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589326.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589326.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1174S1+031",35893.30,"1980-12-14T15:21:23Z","1980-12-14T16:43:40Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589330.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589330.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1177S1+031",35893.33,"1980-12-14T15:21:23Z","1980-12-14T16:46:04Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589333.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589333.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1181S1+031",35893.37,"1980-12-14T15:26:59Z","1980-12-14T16:49:16Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589337.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589337.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1184S1+031",35893.40,"1980-12-14T15:26:59Z","1980-12-14T16:51:40Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589340.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589340.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1188S1+031",35893.44,"1980-12-14T15:32:35Z","1980-12-14T16:54:52Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589344.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589344.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1191S1+031",35893.47,"1980-12-14T15:32:35Z","1980-12-14T16:57:16Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589347.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589347.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1195S1+031",35893.51,"1980-12-14T15:38:11Z","1980-12-14T17:00:28Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589351.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589351.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1198S1+031",35893.54,"1980-12-14T15:38:11Z","1980-12-14T17:02:52Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589354.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589354.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1202S1+031",35893.58,"1980-12-14T15:43:47Z","1980-12-14T17:06:04Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589358.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589358.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1205S1+031",35894.01,"1980-12-14T15:43:47Z","1980-12-14T17:08:28Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589401.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589401.IBG            "                                                                                               
