"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0865S1-046",33578.21,"1980-09-28T11:14:10Z","1980-09-28T21:04:40Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3357XXX]C3357821.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3357XXX]C3357821.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1011S1-046",33580.47,"1980-09-28T13:10:58Z","1980-09-28T21:08:19Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358047.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358047.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1013S1-046",33580.49,"1980-09-28T13:12:34Z","1980-09-28T21:12:46Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358049.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358049.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1015S1-046",33580.51,"1980-09-28T13:14:10Z","1980-09-28T21:17:14Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358051.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358051.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1017S1-046",33580.53,"1980-09-28T13:15:46Z","1980-09-28T21:21:40Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358053.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358053.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1019S1-046",33580.55,"1980-09-28T13:17:22Z","1980-09-28T21:26:08Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358055.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358055.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1165S1-046",33583.21,"1980-09-28T15:14:10Z","1980-09-28T21:30:35Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358321.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358321.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1167S1-046",33583.23,"1980-09-28T15:15:46Z","1980-09-28T21:35:04Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358323.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358323.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1169S1-046",33583.25,"1980-09-28T15:17:22Z","1980-09-28T21:39:29Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358325.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358325.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1171S1-046",33583.27,"1980-09-28T15:18:58Z","1980-09-28T21:43:57Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358327.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358327.IBG            "                                                                                               
